fecha,tipo_ingreso,linea,ingreso
2012-01-07,Boletos,Línea 4,144690
2012-01-07,Boletos,Línea 5,352950
2012-01-07,Boletos,Línea 6,212430
2012-01-07,Boletos,Línea 7,354171
2012-01-07,Boletos,Línea 8,704739
2012-01-07,Boletos,Línea 9,428550
2012-01-07,Boletos,Línea A,451605
2012-01-07,Boletos,Línea B,862980
2012-01-07,Boletos,Línea 12,NaN
2012-01-07,Recargas,Línea 1,512635
2012-01-07,Recargas,Línea 2,691914
2012-01-07,Recargas,Línea 3,472060.5
2012-01-07,Recargas,Línea 4,61652
2012-01-07,Recargas,Línea 5,132166
2012-01-07,Recargas,Línea 6,104562
2012-01-07,Recargas,Línea 7,240202
2012-01-07,Recargas,Línea 8,321398
2012-01-07,Recargas,Línea 9,246525
2012-01-07,Recargas,Línea A,168975
2012-01-07,Recargas,Línea B,331089
2012-01-07,Recargas,Línea 12,NaN
2012-01-07,Tarjetas,Línea 1,5850
2012-01-07,Tarjetas,Línea 2,8790
2012-01-07,Tarjetas,Línea 3,5190
2012-01-07,Tarjetas,Línea 4,750
2012-01-07,Tarjetas,Línea 5,1990
2012-01-07,Tarjetas,Línea 6,1320
2012-01-07,Tarjetas,Línea 7,3270
2012-01-07,Tarjetas,Línea 8,3420
2012-01-07,Tarjetas,Línea 9,2700
2012-01-07,Tarjetas,Línea A,1170
2012-01-07,Tarjetas,Línea B,3210
2012-01-07,Tarjetas,Línea 12,NaN
2012-01-08,Boletos,Línea 1,897705
2012-01-08,Boletos,Línea 2,869928
2012-01-08,Boletos,Línea 3,671742
2012-01-08,Boletos,Línea 4,90630
2012-01-08,Boletos,Línea 5,264870
2012-01-08,Boletos,Línea 6,151200
2012-01-08,Boletos,Línea 7,209679
2012-01-08,Boletos,Línea 8,454899
2012-01-08,Boletos,Línea 9,260535
2012-01-08,Boletos,Línea A,331575
2012-01-08,Boletos,Línea B,613875
2012-01-08,Boletos,Línea 12,NaN
2012-01-08,Recargas,Línea 1,283227
2012-01-08,Recargas,Línea 2,379225
2012-01-08,Recargas,Línea 3,271430.3
2012-01-08,Recargas,Línea 4,31485
2012-01-08,Recargas,Línea 5,81745
2012-01-08,Recargas,Línea 6,54951
2012-01-08,Recargas,Línea 7,105419
2012-01-08,Recargas,Línea 8,172307
2012-01-08,Recargas,Línea 9,130482
2012-01-08,Recargas,Línea A,103801
2012-01-08,Recargas,Línea B,220618.3
2012-01-08,Recargas,Línea 12,NaN
2012-01-08,Tarjetas,Línea 1,3700
2012-01-08,Tarjetas,Línea 2,5400
2012-01-08,Tarjetas,Línea 3,3360
2012-01-08,Tarjetas,Línea 4,410
2012-01-08,Tarjetas,Línea 5,1050
2012-01-08,Tarjetas,Línea 6,610
2012-01-08,Tarjetas,Línea 7,1650
2012-01-08,Tarjetas,Línea 8,1910
2012-01-08,Tarjetas,Línea 9,1580
2012-01-08,Tarjetas,Línea A,710
2012-01-08,Tarjetas,Línea B,2450
2012-01-08,Tarjetas,Línea 12,NaN
2012-01-09,Boletos,Línea 1,1470270
2012-01-09,Boletos,Línea 2,1574931
2012-01-09,Boletos,Línea 3,1342710
2012-01-09,Boletos,Línea 4,181815
2012-01-09,Boletos,Línea 5,446475
2012-01-09,Boletos,Línea 6,335415
2012-01-09,Boletos,Línea 7,522996
2012-01-09,Boletos,Línea 8,827742
2012-01-09,Boletos,Línea 9,566910
2012-01-09,Boletos,Línea A,581160
2012-01-09,Boletos,Línea B,960720
2012-01-09,Boletos,Línea 12,NaN
2012-01-09,Recargas,Línea 1,787799
2012-01-09,Recargas,Línea 2,1094195
2012-01-09,Recargas,Línea 3,859785.5
2012-01-09,Recargas,Línea 4,104012
2012-01-09,Recargas,Línea 5,224890.5
2012-01-09,Recargas,Línea 6,216453.5
2012-01-09,Recargas,Línea 7,490260
2012-01-09,Recargas,Línea 8,469040
2012-01-09,Recargas,Línea 9,396986
2012-01-09,Recargas,Línea A,296610.3
2012-01-09,Recargas,Línea B,505134.5
2012-01-09,Recargas,Línea 12,NaN
2012-01-09,Tarjetas,Línea 1,8450
2012-01-09,Tarjetas,Línea 2,11420
2012-01-09,Tarjetas,Línea 3,8490
2012-01-09,Tarjetas,Línea 4,1060
2012-01-09,Tarjetas,Línea 5,2840
2012-01-09,Tarjetas,Línea 6,2360
2012-01-09,Tarjetas,Línea 7,5490
2012-01-09,Tarjetas,Línea 8,4270
2012-01-09,Tarjetas,Línea 9,4140
2012-01-09,Tarjetas,Línea A,1680
2012-01-09,Tarjetas,Línea B,4930
2012-01-09,Tarjetas,Línea 12,NaN
2012-01-10,Boletos,Línea 1,1304460
2012-01-10,Boletos,Línea 2,1448166
2012-01-10,Boletos,Línea 3,1217808
2012-01-10,Boletos,Línea 4,161235
2012-01-10,Boletos,Línea 5,388800
2012-01-10,Boletos,Línea 6,287850
2012-01-10,Boletos,Línea 7,475824
2012-01-10,Boletos,Línea 8,738054
2012-01-10,Boletos,Línea 9,520845
